"etag","parentid","id","textDisplay","textOriginal","authorDisplayName","authorProfileImageUrl","authorChannelUrl","authorChannelId","likeCount","publishedAt","updatedAt"
"qPO_nVNxlJJlzaSQbkBskBL_Za0","UgzMgifUDST5VEwBC8d4AaABAg","UgzMgifUDST5VEwBC8d4AaABAg","Премьера «Гром: Трудное детство» на Кинопоиске 1 января в <a href=""https://www.youtube.com/watch?v=r3Ol4hgvSL4&amp;t=20m23s"">20:23</a>:
<br><a href=""https://c.polyana.ai/RKZ6ZDM4"">https://c.polyana.ai/RKZ6ZDM4</a>","Премьера «Гром: Трудное детство» на Кинопоиске 1 января в 20:23:
https://c.polyana.ai/RKZ6ZDM4","Дмитрий Череватенко","https://yt3.ggpht.com/iG13ANAfkeuvM5WSaL2CjxzWjXVWe7PZGz1P9LhUxzCGoDlnr-v8ZzTtEtXF-pGBvbm3U0n-e5o=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCGNIf8qTK5lgwp0yysGKc7g","UCGNIf8qTK5lgwp0yysGKc7g","250","2022-12-31T10:01:29Z","2022-12-31T10:01:29Z"
"93jLzMsZ8FmGJXBC4y6CsicuKSw","Ugw-nkWHIMdB8n9GOUF4AaABAg","Ugw-nkWHIMdB8n9GOUF4AaABAg","Ужас, они следят, чтобы губы с текстом при дублеже совпадали. Это ж никуда не годится.","Ужас, они следят, чтобы губы с текстом при дублеже совпадали. Это ж никуда не годится.","Алексей Локтев","https://yt3.ggpht.com/ytc/AMLnZu9gS30-SCmu4SnEaPFxwh194XYNjlBiFW4ZpDwH=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UC00vzyEq0nJkKmRLG1_RWRw","UC00vzyEq0nJkKmRLG1_RWRw","0","2023-01-03T19:25:13Z","2023-01-03T19:25:13Z"
"YQwpCtxkjsRfjCUpKVMx22patPA","UgxQqf2eOThR_9g6idd4AaABAg","UgxQqf2eOThR_9g6idd4AaABAg","Боже, какой кринж.","Боже, какой кринж.","Evan Cold","https://yt3.ggpht.com/gMpwO7VRmjtsMRlGilBXlp8vHA0iyYPbm9GoiCqaxxM-UxNL-v0Tq1Koy4L5XWt4WzeAb0lTntM=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCWWfjYTvlT5Jj5BzUyuGEzQ","UCWWfjYTvlT5Jj5BzUyuGEzQ","0","2023-01-03T19:16:07Z","2023-01-03T19:16:07Z"
"1tOqimUOcJCO7XIvO0fSNRjFcpA","UgwFq2Fq0J1oWDY5nCp4AaABAg","UgwFq2Fq0J1oWDY5nCp4AaABAg","А чем эхо убираете из записи?","А чем эхо убираете из записи?","Andrey V","https://yt3.ggpht.com/ytc/AMLnZu8RqaaU39AvtZ66U7q8gL642sDABHDojuAXhZBLDg=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCUC7GyXS8fJBBt6JGMjvNww","UCUC7GyXS8fJBBt6JGMjvNww","0","2023-01-03T19:13:25Z","2023-01-03T19:13:25Z"
"1tS2sbVFkcFo1leSYYfxN3lb6Bs","UgzDByUUbYK-GW4-mdd4AaABAg","UgzDByUUbYK-GW4-mdd4AaABAg","великолепно!","великолепно!","Ростом Абрамян","https://yt3.ggpht.com/ytc/AMLnZu8yyhW5Wcw9O_4m1RdQPy1VuQQaGfopEFd1VMsI=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCf3Yrzsr_kkBj-zRZHi3cEQ","UCf3Yrzsr_kkBj-zRZHi3cEQ","0","2023-01-03T18:59:57Z","2023-01-03T18:59:57Z"
"wr20KWcNVcapC6VQbu9G4VZbtac","Ugw-wukr14gmuZUL8Bl4AaABAg","Ugw-wukr14gmuZUL8Bl4AaABAg","афигеть. а я думал, что это был просто цельный актер у Бэда... а оказалась озвучка. Вот, что значит качественная работа.","афигеть. а я думал, что это был просто цельный актер у Бэда... а оказалась озвучка. Вот, что значит качественная работа.","NFYT","https://yt3.ggpht.com/ytc/AMLnZu9JNC73WHrNCC7xh8gRNQnxXxeikMNCgyqvuQ=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCJvd0_hP5z4Smbd55P4fQWA","UCJvd0_hP5z4Smbd55P4fQWA","1","2023-01-03T18:55:15Z","2023-01-03T18:55:15Z"
"x2m_5oWV86LQmUD9Nf5PBmhPgXA","UgyTbJlQqI_nUn9uH7N4AaABAg","UgyTbJlQqI_nUn9uH7N4AaABAg","кайфанул","кайфанул","Alex Penkov","https://yt3.ggpht.com/ytc/AMLnZu_daPs5uI1ACJI56a1eWrj4Vsut8mRH_oih2WUWgkAdScGmwcdQkmOz3EXkCgWv=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCiGrOO1TDdEN0P_8s8P7XWg","UCiGrOO1TDdEN0P_8s8P7XWg","0","2023-01-03T18:30:32Z","2023-01-03T18:30:32Z"
"9YKS2PzVASLFDtyUdyEGHxW5d_I","Ugx_c0A05Ki1Avy9f5N4AaABAg","Ugx_c0A05Ki1Avy9f5N4AaABAg","Как же прекрасен этот голос... Только не идеальный баланс, а безупречный баланс.","Как же прекрасен этот голос... Только не идеальный баланс, а безупречный баланс.","Алексей Novykoff","https://yt3.ggpht.com/zQpMjVL4HGdJp_JK4gtcBYsGnFz6JedwcSF1aY-eQkEqmqEckABmB9P7O98G9t8yHzTFjf2W=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCDZAkPocMhsNFy5FKJc6pNw","UCDZAkPocMhsNFy5FKJc6pNw","1","2023-01-03T18:18:00Z","2023-01-03T18:28:06Z"
"e3Rud5TwEDK5BEZ2BZugyU5fli4","Ugwe4gZk-cXYtCe-Wdp4AaABAg","Ugwe4gZk-cXYtCe-Wdp4AaABAg","Я это пересматриваю это 15й раз!","Я это пересматриваю это 15й раз!","Андрей Деднев","https://yt3.ggpht.com/ytc/AMLnZu-Evr7HBMrch0npqD7uxUxmQeur80In3NrhEb3Q7yIFm7dUdvqWGFhFAo2RbI3oWA=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCMzEyXRi2gCIO_LJa4HjX0w","UCMzEyXRi2gCIO_LJa4HjX0w","0","2023-01-03T18:10:42Z","2023-01-03T18:10:42Z"
"eGERTYVX0wvto7xLRIQLqRtvYv4","UgyX8HIBxwfBArDOiDh4AaABAg","UgyX8HIBxwfBArDOiDh4AaABAg","Обосраться у нас русское слово,и процесс нормальный.ахаххахаха","Обосраться у нас русское слово,и процесс нормальный.ахаххахаха","Юрий Черногоров","https://yt3.ggpht.com/ytc/AMLnZu_23RiWSrtMOiVb5cqKP63cLsmBbhXUndVPq3cANQ=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCZid8S7sMDuK61c6JG4a_NQ","UCZid8S7sMDuK61c6JG4a_NQ","0","2023-01-03T17:55:04Z","2023-01-03T17:55:04Z"
"an04BxH2nqkTEopb7m-Y-LLraKE","Ugw8B_C0JLds4xAVZd94AaABAg","Ugw8B_C0JLds4xAVZd94AaABAg","Мне Воробьев на Ефремова похож.","Мне Воробьев на Ефремова похож.","Puskoi","https://yt3.ggpht.com/ytc/AMLnZu9I27DVXCcUAHlpFaYeEvno-g_SDe2hbM-5lDu4IQ=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCzXncbOMSLfa1K8EzvEmaCQ","UCzXncbOMSLfa1K8EzvEmaCQ","1","2023-01-03T17:13:19Z","2023-01-03T17:13:19Z"
"kPWo4V-DMBlPyYoBfxvjTprVKnQ","Ugy2v3znWJR4vbYAt8B4AaABAg","Ugy2v3znWJR4vbYAt8B4AaABAg","только что смотрел бедкамедиана","только что смотрел бедкамедиана","игорь литвинский","https://yt3.ggpht.com/ytc/AMLnZu8kPkz4FaPX-ViTleJhLfkzvZ_Wfpi9mxAhFGyhJQ=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCXSZDc725_Rb874a59q1Ljw","UCXSZDc725_Rb874a59q1Ljw","0","2023-01-03T16:57:25Z","2023-01-03T16:57:25Z"
"fBqczgkd6I8KJ-UYRSy-yS2Amio","UgzUinnYFn0gKiPnwvd4AaABAg","UgzUinnYFn0gKiPnwvd4AaABAg","просто шикарно!","просто шикарно!","Руслан Иванов","https://yt3.ggpht.com/ytc/AMLnZu-W0ENB1XALiRCFAkIzedgSCMwaViTFk6oYCiDj=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCysyZzz-IstSJZZXxtyJAhg","UCysyZzz-IstSJZZXxtyJAhg","0","2023-01-03T16:26:40Z","2023-01-03T16:26:40Z"
"5WUuG-h_GZx8OfZGcwt-oTuk-lY","UgyqmsPpEqcKLQTHpzN4AaABAg","UgyqmsPpEqcKLQTHpzN4AaABAg","Блин, да в обзорах Бэда в разы больше профессиональной актёрской работы, чем в говне, которое он обозревает🙄","Блин, да в обзорах Бэда в разы больше профессиональной актёрской работы, чем в говне, которое он обозревает🙄","Глеб Алфимов","https://yt3.ggpht.com/ytc/AMLnZu9ddDUesG2CPj01oSOyuz5zzx81nmkJ7dWtWA=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCbU9gr-km9v37B8q1LpJRqw","UCbU9gr-km9v37B8q1LpJRqw","2","2023-01-03T15:41:16Z","2023-01-03T15:41:16Z"
"vYKU4A9AntposBtQbmBsfRFRtNA","UgzTQV9XvRt-IjNLEaJ4AaABAg","UgzTQV9XvRt-IjNLEaJ4AaABAg","Кайф!","Кайф!","Педагогические шалости","https://yt3.ggpht.com/ytc/AMLnZu8AAXjCePITKoVh8whMjkvAT4VZKdZ78a3gNhwVomxtaf-1ZOyWtFICyIn5GdCsDw=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCafwhjn8JzruB_cbY_cGDNQ","UCafwhjn8JzruB_cbY_cGDNQ","0","2023-01-03T15:38:28Z","2023-01-03T15:38:28Z"
"VE8qiqNPiyKnLIRz2zHHJ6a6LZ4","UgyYrNnQq4P5q3py8uR4AaABAg","UgyYrNnQq4P5q3py8uR4AaABAg","Как будто был рождён чтобы озвучивать Таноса. Таких колоритных злодеев ещё поискать","Как будто был рождён чтобы озвучивать Таноса. Таких колоритных злодеев ещё поискать","Руслан Дягтерев","https://yt3.ggpht.com/ytc/AMLnZu8mwMaBWy8IEwpJxftcIWU3mPQx-FUzunPTUlwiFQ=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCZTADW5TdxdWVW6f3YiK3Nw","UCZTADW5TdxdWVW6f3YiK3Nw","0","2023-01-03T15:09:07Z","2023-01-03T15:09:07Z"
"5meqi6dUf62b8r59Xj3_XIqmEJw","UgyZOzG1uGWGQ81BGC94AaABAg","UgyZOzG1uGWGQ81BGC94AaABAg","Голос легенда. Голос из мемов)","Голос легенда. Голос из мемов)","Methyu Montgomery","https://yt3.ggpht.com/vMxf6K8zRLQdqVOuFUF14kopgyAWYOO9YEe9nEztVLjTfUPJSu4qXGMwUUdPEIa1FB5KSzeHshE=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCYl93qvjYiD_KSiN9CYfRHw","UCYl93qvjYiD_KSiN9CYfRHw","0","2023-01-03T14:57:57Z","2023-01-03T14:57:57Z"
